the_geom,SCHOOL_NM,UNIT_ID,SCHOOL_ID,SCH_ADDR,GRADE_CAT,GRADES,SCH_TYPE,X,Y
POINT (-87.63494065396515 41.781458507704414),URBAN PREP MENS CHARTER HS,7030,400086,6201 S STEWART AV,HS,"9, 10, 11, 12",Charter,-87.6349406538,41.7814585083
POINT (-87.77671021570711 41.92164363440802),CICS - WEST BELDEN,7120,400030,2245 N MCVICKER AV,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Charter,-87.7767102155,41.9216436355
POINT (-87.67021469018843 41.79407054302777),CICS - BASIL,7130,400024,1816 W. GARFIELD BL,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Charter,-87.6702146901,41.794070544
POINT (-87.64981216759854 41.88063000296454),CHICAGO VIRTUAL CHARTER,7700,400036,38 S. PEORIA ST,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11",Charter,-87.6498121677,41.8806300036
POINT (-87.69690743068324 41.91259349727898),ASPIRA - RAMIREZ COMPUTER SCIENCE,7800,400015,1711 N. CALIFORNIA AV,HS,"9, 10, 11, 12",Charter,-87.6969074304,41.9125934984
POINT (-87.72679154757587 41.937382225308845),ASPIRA - EARLY COLLEGE,7803,400013,3986 W BARRY AVE,HS,"9, 10, 11",Charter,-87.7267915474,41.9373822265
POINT (-87.66768609379477 41.825663817934725),NAMASTE CHARTER,7920,400050,3737 S. PAULINA AV,ES,"K, 1, 2, 3, 4, 5, 6",Charter,-87.6676860938,41.825663819
POINT (-87.67481099855674 42.01278536896599),CHICAGO MATH & SCIENCE CHARTER,7940,400035,7202 N CLARK ST,MS,"6, 7, 8, 9, 10, 11, 12",Charter,-87.6748109985,42.01278537
POINT (-87.625883698038 41.79603701599105),ACE TECHNICAL CHARTER HS,7950,400010,5410 S. STATE ST,HS,"9, 10, 11, 12",Charter,-87.625883698,41.7960370168
POINT (-87.60505915420725 41.65357978848742),CICS - BOND,8049,400092,13300 S LANGLEY AV,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Charter,-87.6050591544,41.653579789
POINT (-87.69877543097867 41.877860140681406),LEARN CHTR - NORTH LAWNDALE,8072,400047,212 S. FRANCISCO AV,ES,"PK, K, 1, 2, 3, 4",Charter,-87.6987754308,41.8778601419
POINT (-87.66453430785263 41.89530884588499),ROWE,8077,400096,1454 W SUPERIOR ST,ES,"K, 1, 2",Charter,-87.6645343078,41.8953088467
POINT (-87.67822888573464 41.878835727309124),NOBLE - BULLS,8078,400097,2040 W ADAMS ST,HS,"9, 10",Charter,-87.6782288854,41.8788357283
POINT (-87.62768613571455 41.88217578599183),NOBLE - MUCHIN,8079,400098,1 N. STATE ST,HS,9,Charter,-87.6276861356,41.8821757868
POINT (-87.72183002999127 41.96637816460533),ASPIRA-  HAUGAN MIDDLE,3500,400017,3729 W LELAND ST,MS,"6, 7, 8",Charter,-87.7218300294,41.9663781658
POINT (-87.72660921384393 41.99027117941148),CICS - NORTHTOWN,7740,400034,3900 W. PETERSON AV,HS,"9, 10, 11, 12",Charter,-87.7266092134,41.9902711805
POINT (-87.72133536524454 41.858328810844945),KIPP ASCEND CHARTER,7810,400044,1616 S AVERS AV,MS,"5, 6, 7, 8",Charter,-87.7213353653,41.8583288116
POINT (-87.60843752386688 41.8136796505632),U of C CHARTER - WOODSON,3062,400078,4444 S EVANS AV,ES,"6, 7, 8",Charter,-87.6084375239,41.8136796515
POINT (-87.60843286800828 41.827716676786004),U of C CHARTER - DONOGHUE,2600,400075,707 E 37TH ST,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7",Charter,-87.6084328678,41.8277166778
POINT (-87.63534909566171 41.77074529233637),AMANDLA,6655,400012,6800 S STEWART AV,HS,"5, 6",Charter,-87.6353490959,41.7707452934
POINT (-87.72498674573953 41.864998646869815),COMMUNITY WEST HS,1225,400038,1239 S. PULASKI RD,HS,"10, 11, 12",High School,-87.7249867457,41.8649986479
POINT (-87.7400967515235 41.80755106686961),GLOBAL CITIZENSIHP ACAD,2025,400009,4647 W 47TH ST,ES,"K, 1, 2",Contract,-87.740096751,41.8075510676
POINT (-87.76329610516922 41.87273348489961),PLATO LEARNING ACADEMY,2045,400068,5545 W. HARRISON ST,ES,"K, 1, 2, 3, 4, 5",Contract,-87.7632961046,41.8727334861
POINT (-87.60178707611601 41.7219774441415),NKRUMAH ACADEMY,2055,400045,901 E. 95th St,ES,"K, 1",Contract,-87.6017870763,41.7219774453
POINT (-87.76538723439347 41.882348806622346),CATALYST CONTR CIRCLE ROCK ES,4371,400021,5608 W. WASHINGTON BL,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Contract,-87.765387234,41.8823488072
POINT (-87.72633000906644 41.866958542936295),FRAZIER PREP,6650,400040,4027 W GRENSHAW ST,ES,"PK, K, 1, 2, 3, 4, 5, 6",Contract,-87.7263300086,41.8669585438
POINT (-87.76321129551351 41.88518216232466),AUSTIN BUS & ENTRP HS,7020,400018,231 N PINE AV,HS,"9, 10, 11, 12",Contract,-87.7632112954,41.8851821631
POINT (-87.65926638205354 41.86327021910502),CAAT HS,8022,400091,1301 W 14TH ST,HS,9,Contract,-87.6592663816,41.8632702201
POINT (-87.61837217302867 41.836398648892825),CHICAGO ARTS HS,8047,400022,3200 S. CALUMET AV,HS,9,Contract,-87.618372173,41.8363986498
POINT (-87.73052903716936 41.88408239616642),CHICAGO TALENT HS,8053,400093,223 N KEELER AV,HS,9,Contract,-87.7305290369,41.8840823974
POINT (-87.55019066479481 41.744959596795624),EPIC HS,8058,400094,8255 S HOUSTON AV,HS,9,Contract,-87.5501906642,41.7449595979
POINT (-87.7080552780167 41.87974152986593),GARFIELD PARK ES,8064,400095,3250 W MONROE ST,ES,"K, 1, 2, 3",Contract,-87.708055278,41.8797415311
POINT (-87.66808378010795 41.883389361410956),HOPE ES,8067,400043,1628 W WASHINGTON BL,ES,"K, 1, 2, 3",Contract,-87.6680837798,41.8833893621
POINT (-87.6993122766244 41.88297609603158),URBAN PREP - EAST GARFIELD PARK HS,8096,400102,2908 W WASHINGTON BL,HS,9,Contract,-87.6993122763,41.8829760971
POINT (-87.67169876757447 41.78204929696389),LINDBLOM HS,7110,610391,6130 S WOLCOTT ST,HS,"9, 10, 11, 12",High School,-87.6716987672,41.7820492979
POINT (-87.62448455126544 41.80457956556587),BRONZEVILLE HS,7270,610381,4934 S WABASH AV,HS,"9, 10, 11, 12",High School,-87.6244845509,41.8045795662
POINT (-87.66526394456018 41.98909794247735),SENN AA,7650,610377,5900 N GLENWOOD AV,HS,"9, 10",High School,-87.6652639441,41.9890979437
POINT (-87.68686915979514 41.902615439256074),CLEMENTE HS,1840,609759,1147 N WESTERN AV,HS,"9, 10, 11, 12",High School,-87.6868691599,41.9026154396
POINT (-87.68686915979514 41.902615439256074),CLEMENTE AA,7980,610401,1147 N WESTERN AV,HS,"9, 10",High School,-87.6868691599,41.9026154396
POINT (-87.65926638205354 41.86327021910502),AIR FORCE HS,1055,610513,1301 W 14TH ST,HS,9,High School,-87.6592663816,41.8632702201
POINT (-87.68865069034504 41.87885400601593),MARINE MILITARY MATH AND SCIENCE ACADEMY,1085,610502,145 S CAMPBELL AV,HS,"9, 10",High School,-87.6886506903,41.8788540071
POINT (-87.7341937443269 41.8359816165421),WORLD LANGUAGE HS,4460,610392,3120 S KOSTNER AV,HS,"9, 10, 11, 12",High School,-87.7341937439,41.8359816175
POINT (-87.66526394456018 41.98909794247735),RICKOVER MILITARY HS,7140,610390,5900 N GLENWOOD AV,HS,"9, 10, 11, 12",High School,-87.6652639441,41.9890979437
POINT (-87.7341937443269 41.8359816165421),INFINITY HS HS,7680,610384,3120 S KOSTNER AV,HS,"9, 10, 11, 12",High School,-87.7341937439,41.8359816175
POINT (-87.75413120932518 41.939843003034966),FOREMAN HS,1330,609708,3235 N LECLAIRE AV,HS,"9, 10, 11, 12",High School,-87.7541312089,41.9398430038
POINT (-87.7915147483233 41.98298874565713),TAFT HS,1580,609734,6530 W. BRYN MAWR AV,HS,"7, 8, 9, 10, 11, 12",High School,-87.7915147479,41.9829887468
POINT (-87.76108249460255 41.91997960323622),PROSSER HS,1070,609679,2148 N LONG AV,HS,"9, 10, 11, 12",High School,-87.7610824942,41.9199796036
POINT (-87.7360106883966 41.92789079134756),KELVYN PARK HS,1410,609716,4343 W WRIGHTWOOD AV,HS,"9, 10, 11, 12",High School,-87.7360106884,41.9278907922
POINT (-87.78355184433698 41.93562855952821),STEINMETZ HS,1560,609732,3030 N MOBILE AV,HS,"9, 10, 11, 12",High School,-87.7835518438,41.9356285603
POINT (-87.68865069034504 41.87885400601593),PHOENIX MILITARY HS,7310,610304,145 S CAMPBELL AV,HS,"9, 10, 11, 12",High School,-87.6886506903,41.8788540071
POINT (-87.7086710499952 41.848626214200074),FARRAGUT HS,1300,609704,2345 S CHRISTIANA AV,HS,"9, 10, 11, 12",High School,-87.7086710497,41.8486262151
POINT (-87.69467355377914 41.81866725800737),KELLY HS,1400,609715,4136 S CALIFORNIA AV,HS,"9, 10, 11, 12",High School,-87.6946735533,41.818667259
POINT (-87.6191790531031 41.83056278582589),CHICAGO MILITARY HS,1800,609754,3519 S GILES AV,HS,"9, 10, 11, 12",High School,-87.6191790526,41.8305627869
POINT (-87.71804871217637 41.78046210651012),HUBBARD HS,1670,609741,6200 S HAMLIN AV,HS,"9, 10, 11, 12",High School,-87.7180487121,41.7804621074
POINT (-87.5906556990955 41.656246443038334),CARVER MILITARY HS,1850,609760,13100 S DOTY WEST AV,HS,"9, 10, 11, 12",High School,-87.590655699,41.656246444
POINT (-87.72239374073065 41.98299987356086),NORTHSIDE LEARNING HS,1690,609744,3730 W BRYN MAWR AV,HS,"9, 10, 11, 12",High School,-87.7223937406,41.9829998743
POINT (-87.76462503363163 41.96031889832569),VAUGHN OCC HS,1920,609766,4355 N LINDER AV,HS,"9, 10, 11, 12",High School,-87.7646250339,41.9603188991
POINT (-87.78965472728471 41.970097205599785),BEARD,4950,610083,6445 W STRONG ST,ES,"PK, K, 1, 2, 3",Elementary School,-87.7896547272,41.9700972067
POINT (-87.81423950704647 42.01686312945188),STOCK,5770,610163,7507 W BIRCHWOOD AV,ES,PK,Elementary School,-87.8142395069,42.0168631305
POINT (-87.6612391804027 41.89548305613285),NEAR NORTH,4970,610085,739 N ADA ST,ES,"3, 4, 5, 6, 7, 8",Elementary School,-87.66123918,41.8954830573
POINT (-87.66648062258356 41.86470907734974),MONTEFIORE ALT,4860,610075,1310 S ASHLAND AV,ES,"5, 6, 7, 8",Elementary School,-87.6664806222,41.8647090785
POINT (-87.6695151591989 41.88362711954883),RUDOLPH,7350,610308,110 N PAULINA ST,ES,"PK, 1, 2, 3",Elementary School,-87.6695151594,41.8836271204
POINT (-87.62528015948087 41.84975082611654),GRAHAM OCC HS,1950,609769,2347 S WABASH AV,HS,"9, 10, 11, 12",High School,-87.6252801589,41.8497508272
POINT (-87.67598480280103 41.75990861511111),SOUTHSIDE OCC HS,1700,609745,7342 S HOYNE AV,HS,"9, 10, 11, 12",High School,-87.6759848023,41.7599086161
POINT (-87.68564520632698 41.80171523323387),CHRISTOPHER,2780,609855,5042 S ARTESIAN AV,ES,"1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.6856452059,41.8017152341
POINT (-87.79047994101427 41.77653067184772),BLAIR,4990,610087,6751 W 63RD PL,ES,PK,Elementary School,-87.7904799408,41.7765306726
POINT (-87.62089980710408 41.73851721221491),NEIL,5060,610093,8555 S MICHIGAN AV,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.6208998072,41.738517213
POINT (-87.5643908286182 41.72774892461465),BUCKINGHAM,6980,610280,9207 S PHILLIPS AV,ES,"5, 6, 7, 8",Elementary School,-87.5643908282,41.7277489257
POINT (-87.70201275590105 41.864181266456086),COLLINS ACADEMY HIGH SCHOOL (AUSL),1045,610499,1313 S SACRAMENTO DR,HS,"9, 10, 11",High School,-87.7020127559,41.8641812675
POINT (-87.7262030484384 41.89444827748239),ORR HIGH SCHOOL,1830,610389,730 N PULASKI RD,HS,"9, 10, 11, 12",High School,-87.7262030484,41.8944482783
POINT (-87.70538619503624 41.76445025832864),TARKINGTON,7160,610396,3300 W 71ST ST,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.7053861949,41.7644502592
POINT (-87.77650757476367 41.94220008422334),CHICAGO ACADEMY HS,7770,610340,3400 N. AUSTIN AV,HS,"9, 10, 11, 12",High School,-87.7765075747,41.942200085
POINT (-87.75943672862378 41.89365944322021),HOWE,4060,610000,720 N LOREL AV,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.7594367285,41.893659444
POINT (-87.77650757476367 41.94220008422334),CHICAGO ACADEMY ES,6670,610248,3400 N AUSTIN AV,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.7765075747,41.942200085
POINT (-87.70498841109406 41.88928357185417),MORTON,6800,610257,431 N TROY ST,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.704988411,41.8892835729
POINT (-87.69302484997992 41.88282061163445),DODGE,3050,609888,2651 W WASHINGTON BLVD,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.6930248496,41.8828206127
POINT (-87.62911879512437 41.85277536785444),NATIONAL TEACHERS,6480,610231,55 W CERMAK RD,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.629118795,41.852775369
POINT (-87.70317594036213 41.86185055115825),JOHNSON,6940,610274,1420 S ALBANY AV,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.7031759406,41.8618505522
POINT (-87.70317594036213 41.86185055115825),JOHNSON,6940,610274,1420 S ALBANY AV,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.7031759406,41.8618505522
POINT (-87.70215742646876 41.870195221343955),BETHUNE,8020,610365,3030 W ARTHINGTON ST,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.7021574263,41.8701952221
POINT (-87.65027810830853 41.79978767356192),SHERMAN,5890,610172,1000 W 52ND ST,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.6502781083,41.7997876743
POINT (-87.6326997243906 41.75731899167297),HARVARD,3800,609971,7525 S HARVARD AV,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.6326997244,41.7573189925
POINT (-87.61716849422743 41.77953701523744),DULLES,6860,610263,6311 S CALUMET AV,ES,"PK, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.6171684939,41.779537016
POINT (-87.65720387173006 41.784596880416586),COPERNICUS,2900,609869,6010 S THROOP ST,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.6572038716,41.7845968816
POINT (-87.66846847811469 41.797453124317755),FULTON,3450,609929,5300 S HERMITAGE AV,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.6684684777,41.7974531251
POINT (-87.66912484317676 41.77508401466044),HARPER HS,1360,609711,6520 S WOOD ST,HS,"9, 10, 11, 12",High School,-87.6691248433,41.7750840154
POINT (-87.63760756676511 41.68991079566314),FENGER HS,1310,609705,11220 S WALLACE ST,HS,"9, 10, 11, 12",High School,-87.6376075668,41.6899107968
POINT (-87.63760756676511 41.68991079566314),FENGER AA,7970,609706,11220 S WALLACE ST,HS,"9, 10",High School,-87.6376075668,41.6899107968
POINT (-87.66096238191561 41.892396132010106),NOBLE - RAUNER,1932,400055,1337 W OHIO ST,HS,"9, 10, 11, 12",Charter,-87.6609623815,41.892396133
POINT (-87.66453430785263 41.89530884588499),NOBLE - GOLDER,1933,400053,1454 W. SUPERIOR ST,HS,"9, 10, 11",Charter,-87.6645343078,41.8953088467
POINT (-87.71806048313032 41.89533466884159),NOBLE - ROWE-CLARK MATH AND SCIENCE ACADEMY MAROO*,1934,400056,3645 W. CHICAGO AV,HS,"9, 10, 11",Charter,-87.7180604826,41.8953346697
POINT (-87.60201246933886 41.76403619408351),NOBLE - COMER,1935,400052,7200 S. INGLESIDE AV,HS,"9, 10",Charter,-87.602012469,41.7640361948
POINT (-87.67607206022903 41.86575481999043),NOBLE - UIC PREP,1936,400057,1231 S. DAMEN AV,HS,"9, 10",Charter,-87.6760720601,41.8657548211
POINT (-87.62847009028131 41.85606112866207),PERSPECTIVES - JOSLIN HS,1960,400064,1930 S ARCHER AV,HS,"6, 7, 8, 9, 10, 11, 12",Charter,-87.6284700902,41.8560611294
POINT (-87.6522549788938 41.74594014717701),PERSPECTIVES - CALUMET CAMPUS,1961,400061,8131 S MAY ST,HS,"7, 8, 9, 10, 11, 12",Charter,-87.6522549783,41.7459401482
POINT (-87.6522549788938 41.74594014717701),PERSPECTIVES - CALUMET TECHNOLOGY HS,1962,400062,8131 S MAY ST,HS,"9, 10, 11, 12",Charter,-87.6522549783,41.7459401482
POINT (-87.6522549788938 41.74594014717701),PERSPECTIVES - MIDDLE SCHOOL,1963,400067,8131 S MAY ST,MS,"7, 8",Charter,-87.6522549783,41.7459401482
POINT (-87.6247519138072 41.82782499599435),PERSPECTIVES - IIT MATH AND SCIENCE ACADEMY,1964,400066,3663 S. WABASH AV,HS,"6, 7, 8, 9, 10",Charter,-87.6247519133,41.8278249971
POINT (-87.62202983847294 41.78353771203155),CICS - WASHINGTON PARK,2290,400029,6105 S MICHIGAN AV,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Charter,-87.622029838,41.7835377129
POINT (-87.6558001019929 41.72119357971883),CICS - LONGWOOD,2420,400033,1309 W 95TH ST,ES,"3, 4, 5, 6, 7, 8, 9, 10, 11, 12",Charter,-87.6558001018,41.7211935804
POINT (-87.61868895249164 41.84461565510949),YOUNG WOMEN'S LEADERSHIP CHARTER HS,2490,400087,2641 S CALUMET AV,HS,"7, 8, 9, 10, 11, 12",Charter,-87.6186889526,41.8446156561
POINT (-87.59845412166659 41.81133498378621),U of C CHARTER - NORTH KENWOOD CHARTER,3060,400076,1119 E 46TH ST,ES,"PK, K, 1, 2, 3, 4, 5",Charter,-87.5984541213,41.811334985
POINT (-87.59817741283281 41.778090584622035),U of C CHARTER HS - WOODLAWN,3061,400077,6420 S. UNIVERSITY AV,HS,"6, 7, 8, 9, 10, 11, 12",Charter,-87.5981774126,41.7780905854
POINT (-87.6926511485711 41.74536932020315),CICS - WRIGHTWOOD,3180,400031,8130 S CALIFORNIA AV,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Charter,-87.6926511484,41.7453693213
POINT (-87.69382554808134 41.79995276129423),UNO - TAMAYO,3340,400084,5135 S CALIFORNIA AV,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Charter,-87.6938255476,41.7999527619
POINT (-87.66792540359691 41.85947684507321),UNO - BARTOLOME,3341,400081,1641 W 16TH ST,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Charter,-87.6679254034,41.8594768458
POINT (-87.69950480507855 41.93744856550047),UNO - FUENTES,3342,400082,2845 W BARRY AV,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Charter,-87.6995048046,41.9374485664
POINT (-87.73036028020273 41.80789494398356),UNO - GARCIA HS,3343,400085,4248 W. 47TH ST,HS,"9, 10",Charter,-87.7303602797,41.8078949448
POINT (-87.73036028020273 41.80789494398356),UNO - ZIZUMBO,3344,400079,4248 W. 47TH ST,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Charter,-87.7303602797,41.8078949448
POINT (-87.73036028020273 41.80789494398356),UNO - TORRES,3345,400080,4248 W. 47TH ST,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Charter,-87.7303602797,41.8078949448
POINT (-87.69737517105801 41.80833656246364),UNO - MARQUEZ,3346,400089,2916 W. 47th St,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Charter,-87.6973751706,41.8083365636
POINT (-87.62677062660669 41.819302165779376),BRONZEVILLE LIGHTHOUSE CHARTER,3990,400019,8 W ROOT ST,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Charter,-87.6267706261,41.8193021669
POINT (-87.62448455126544 41.80457956556587),SHABAZZ CHTR - DUSABLE,4140,400073,4934 S WABASH AV,HS,"9, 10, 11, 12",Charter,-87.6244845509,41.8045795662
POINT (-87.70783435220041 41.89258613195447),POLARIS CHARTER ACADEMY,4150,400069,620 N. SAWYER AV,ES,"K, 1, 2, 3, 4",Charter,-87.7078343517,41.8925861327
POINT (-87.61692532766006 41.684468956228606),CICS - PRAIRIE,4220,400028,11530 S PRAIRIE AV,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Charter,-87.6169253275,41.6844689571
POINT (-87.70802450720313 41.8584605326629),CATALYST,4370,400020,1616 S SPAULDING AV,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Charter,-87.7080245074,41.8584605337
POINT (-87.60021723742109 41.752428107115314),SHABAZZ CHTR - SHABAZZ,4520,400072,7823 S ELLIS AV,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Charter,-87.600217237,41.7524281077
POINT (-87.61334092024674 41.83803834220348),PERSHING EAST,5400,610126,3113 S RHODES AV,ES,"PK, K, 1, 2, 3",Elementary School,-87.6133409201,41.838038343
POINT (-87.59471552392478 41.79235282132591),RAY,5560,610142,5631 S KIMBARK AV,ES,"PK, K, 1, 2, 3, 4, 5, 6",Elementary School,-87.5947155237,41.7923528226
POINT (-87.70504479322734 41.79758135368254),SAWYER,5710,610157,5248 S SAWYER AV,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.7050447928,41.7975813547
POINT (-87.75896567607961 41.79906764830112),TWAIN,6240,610206,5134 S LOTUS AV,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.7589656763,41.7990676492
POINT (-87.61645176296595 41.692788545522184),BROOKS HS,1500,609726,250 E 111TH ST,HS,"9, 10, 11, 12",High School,-87.6164517625,41.6927885467
POINT (-87.71766337384958 41.69119532842041),CHICAGO AGRICULTURAL HS,1790,609753,3857 W 111TH ST,HS,"9, 10, 11, 12",High School,-87.7176633738,41.6911953296
POINT (-87.5330127842966 41.69865681192118),ADDAMS,2020,609772,10810 S AVENUE H,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.5330127845,41.6986568126
POINT (-87.70325106264313 41.687320226777125),CASSELL,2720,609849,11314 S SPAULDING AV,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.7032510624,41.6873202276
POINT (-87.68077261994983 41.693055560306846),CLISSOLD,2820,609861,2350 W 110TH PL,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.68077262,41.6930555613
POINT (-87.68562901043636 41.68821883007815),VICK ECC,2920,609871,2554 W 113TH ST,ES,PK,Elementary School,-87.6856290101,41.6882188313
POINT (-87.55334344857114 41.66239734452158),GRISSOM,3580,609944,12810 S ESCANABA AV,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.5533434486,41.6623973456
POINT (-87.5681880805006 41.733228314635284),HOYNE,4080,610002,8905 S CRANDON AV,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.5681880799,41.7332283153
POINT (-87.5681880805006 41.733228314635284),HOYNE,4080,610002,8905 S CRANDON AV,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.5681880799,41.7332283153
POINT (-87.67719473422018 41.72522586847691),KELLOGG,4240,610016,9241 S LEAVITT ST,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.6771947339,41.7252258694
POINT (-87.55251962100857 41.71655675553823),MARSH,4630,610054,9822 S EXCHANGE AV,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.5525196205,41.7165567567
POINT (-87.61917418529552 41.73442231367853),MCDADE,4750,610066,8801 S INDIANA AV,ES,"K, 1, 2, 3, 4, 5, 6",Elementary School,-87.6191741849,41.7344223146
POINT (-87.70577506666204 41.695783103238014),MOUNT GREENWOOD,4940,610082,10841 S HOMAN AV,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.7057750662,41.6957831041
POINT (-87.59629334206286 41.72853805744237),"WASHINGTON, H ES",5380,610124,9130 S UNIVERSITY AV,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.5962933419,41.7285380582
POINT (-87.67678254501725 41.71137975232868),SUTHERLAND,6120,610195,10015 S LEAVITT ST,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.6767825447,41.711379753
POINT (-87.53599592883292 41.68810399312033),"WASHINGTON, G ES",6360,610219,3611 E 114TH ST,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.5359959286,41.6881039938
POINT (-87.58216398025954 41.72613520944748),EARHART,7450,610316,1710 E 93RD ST,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.5821639803,41.7261352106
POINT (-87.57660289526613 41.72956528727549),BLACK,7860,610350,9101 S EUCLID AV,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.5766028949,41.7295652883
POINT (-87.71109201006989 41.795135511707606),ZARAGOZA HS,8550,610543,5400 S ST LOUIS AV,HS,9,High School,-87.7110920101,41.7951355124
POINT (-87.73993260337247 41.77105143896439),AZUELA,8660,610544,4707 W MARQUETTE RD,ES,"K, 1, 2, 3, 4, 5, 6, 7",Elementary School,-87.7399326029,41.7710514393
POINT (-87.72471614476284 41.940044233812934),LORCA,8330,610541,3231 N. SPRINGFIELD AV,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.7247161446,41.9400442348
POINT (-87.8138084296538 41.99420292692554),EDISON PARK,2085,610523,6220 N OLCOTT AV,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.8138084291,41.994202928
POINT (-87.73942523843975 41.93251432811223),BARRY,2160,609789,2828 N KILBOURN AV,ES,"PK, K, 1, 2, 3, 4, 5, 6",Elementary School,-87.7394252381,41.9325143292
POINT (-87.70962733404215 41.971146442216195),EDISON,2220,609794,4929 N SAWYER AV,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.7096273336,41.9711464431
POINT (-87.73398011628575 41.95882089819155),BELDING,2260,609798,4257 N TRIPP AV,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.7339801161,41.9588208993
POINT (-87.7341937443269 41.8359816165421),SOCIAL JUSTICE HS,7600,610383,3120 S KOSTNER AV,HS,"9, 10, 11, 12",High School,-87.7341937439,41.8359816175
POINT (-87.7341937443269 41.8359816165421),MULTI-CULTURAL ARTS HS,7630,610385,3120 S KOSTNER AV,HS,"9, 10, 11, 12",High School,-87.7341937439,41.8359816175
POINT (-87.65927003400776 41.89357728800653),OGDEN HS,8083,610529,1250 W ERIE ST,HS,"6, 7, 8, 9",High School,-87.6592700336,41.8935772887
POINT (-87.66891766203338 41.95483114523793),LAKE VIEW HS,1430,609719,4015 N ASHLAND AV,HS,"9, 10, 11, 12",High School,-87.6689176622,41.954831146
POINT (-87.6911668614354 41.94661621580269),LANE TECH HS,1440,609720,2501 W ADDISON ST,HS,"9, 10, 11, 12",High School,-87.6911668612,41.9466162169
POINT (-87.71485905365968 41.96485494314358),ROOSEVELT HS,1520,609728,3436 W WILSON AV,HS,"9, 10, 11, 12",High School,-87.7148590538,41.9648549437
POINT (-87.70867414264275 41.98144239791368),NORTHSIDE HS,1740,609749,5501 N KEDZIE AV,HS,"9, 10, 11, 12",High School,-87.7086741423,41.981442399
